No,tahun,bulan,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kasus_bulanan,total_tahunan,jumlah_curah_hujan,kepadatan_penduduk
1,2016,1,32,JAWA BARAT,3201,KABUPATEN BOGOR,245,3477,70.8,1546.0
2,2016,2,32,JAWA BARAT,3201,KABUPATEN BOGOR,267,3477,77.2,1546.0
3,2016,3,32,JAWA BARAT,3201,KABUPATEN BOGOR,281,3477,81.4,1546.0
4,2016,4,32,JAWA BARAT,3201,KABUPATEN BOGOR,261,3477,75.5,1546.0
5,2016,5,32,JAWA BARAT,3201,KABUPATEN BOGOR,269,3477,77.95,1546.0
6,2016,6,32,JAWA BARAT,3201,KABUPATEN BOGOR,222,3477,64.35,1546.0
7,2016,7,32,JAWA BARAT,3201,KABUPATEN BOGOR,355,3477,102.7,1546.0
8,2016,8,32,JAWA BARAT,3201,KABUPATEN BOGOR,318,3477,92.0,1546.0
9,2016,9,32,JAWA BARAT,3201,KABUPATEN BOGOR,390,3477,112.9,1546.0
10,2016,10,32,JAWA BARAT,3201,KABUPATEN BOGOR,298,3477,86.25,1546.0
11,2016,11,32,JAWA BARAT,3201,KABUPATEN BOGOR,354,3477,102.60499999999999,1546.0
12,2016,12,32,JAWA BARAT,3201,KABUPATEN BOGOR,218,3477,63.08,1546.0
13,2016,1,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60,854,70.8,607.0
14,2016,2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65,854,77.2,607.0
15,2016,3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69,854,81.4,607.0
16,2016,4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64,854,75.5,607.0
17,2016,5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,66,854,77.95,607.0
18,2016,6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55,854,64.35,607.0
19,2016,7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,87,854,102.7,607.0
20,2016,8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78,854,92.0,607.0
21,2016,9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,96,854,112.9,607.0
22,2016,10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,73,854,86.25,607.0
